Algorithm,Seed,Round,Accuracy,F1_Score,AUC,MAE
HE-FL-IoT (Proposed),1,34,52.35235990527178,0.5091648744033962,0.5383768462688898,0.24769399963520922
HE-FL-IoT (Proposed),1,35,52.846087147970366,0.5017704766685611,0.5413397841809703,0.23689696878109656
HE-FL-IoT (Proposed),1,36,53.20211507407177,0.5203041065194685,0.5435701708039276,0.2430973755730082
HE-FL-IoT (Proposed),1,37,54.633329275943126,0.5176255044245784,0.5600572801934759,0.23444987735991582
HE-FL-IoT (Proposed),1,38,56.33393464859905,0.5503513158733394,0.583196387618776,0.2235111080440658
HE-FL-IoT (Proposed),1,39,57.804616558438774,0.560104721543411,0.5901718089800928,0.21500534411046654
HE-FL-IoT (Proposed),1,40,59.2722393016512,0.5791674840588089,0.6031127304418898,0.21271927722547934
HE-FL-IoT (Proposed),1,41,61.18516324707803,0.5869576267859812,0.6237366827046175,0.19988744063200262
HE-FL-IoT (Proposed),1,42,60.60774159687281,0.5832154333054702,0.6238762911955213,0.198728113941006
HE-FL-IoT (Proposed),1,43,62.132550069105406,0.5969437219236373,0.6332506077774445,0.19814341336935617
HE-FL-IoT (Proposed),1,44,63.70199109732191,0.6242558845680746,0.6562252235066246,0.18825993619478143
HE-FL-IoT (Proposed),1,45,63.978334345926015,0.6134470095803667,0.6517603483701945,0.18217589697317874
HE-FL-IoT (Proposed),1,46,65.04744603815092,0.6188536944474459,0.665794050839575,0.18275962903620985
HE-FL-IoT (Proposed),1,47,67.09367732044196,0.6496219315031307,0.6878468067718553,0.17016722180816574
HE-FL-IoT (Proposed),1,48,68.21379715825805,0.6537568280460573,0.7010014412636442,0.16024247920949888
HE-FL-IoT (Proposed),1,49,68.34340699396635,0.6616990579130533,0.697520968959893,0.1611004395572996
HE-FL-IoT (Proposed),1,50,69.89870198411298,0.6707753463290332,0.7103301631052492,0.15504124539836783
HE-FL-IoT (Proposed),2,1,20.56100852302969,0.1911570642759105,0.5,0.3981049388330696
HE-FL-IoT (Proposed),2,2,19.451074416257267,0.190173092037621,0.5,0.4124254389192813
HE-FL-IoT (Proposed),2,3,19.819519981210192,0.1775160487842153,0.5,0.4082457229106376
HE-FL-IoT (Proposed),2,4,21.588299021774382,0.19664315363372217,0.5,0.39497857938023984
HE-FL-IoT (Proposed),2,5,20.79385457090794,0.19779536701337092,0.5,0.40254358031727067
HE-FL-IoT (Proposed),2,6,22.602269817539376,0.21398130593119635,0.5,0.39122191932347045
HE-FL-IoT (Proposed),2,7,22.37145194150668,0.20579697194141855,0.5,0.39619059052735517
HE-FL-IoT (Proposed),2,8,23.901147583418112,0.23306334557666686,0.5,0.3818986409890143
HE-FL-IoT (Proposed),2,9,25.101082209640886,0.23356808014801012,0.5,0.3833371821392822
HE-FL-IoT (Proposed),2,10,23.75093435508893,0.22714544490340505,0.5,0.3857846832495508
HE-FL-IoT (Proposed),2,11,26.39054640695585,0.24456292198187363,0.5,0.36856881958081583
HE-FL-IoT (Proposed),2,12,26.37137438952178,0.24282822108045135,0.5,0.3732094420995418
HE-FL-IoT (Proposed),2,13,27.37401705116423,0.24950145741569377,0.5,0.37303894134570714
HE-FL-IoT (Proposed),2,14,28.272286272486966,0.2761177995324474,0.5,0.36581073856921464
HE-FL-IoT (Proposed),2,15,30.10761855792732,0.28754998265079207,0.5,0.3536867727939414
HE-FL-IoT (Proposed),2,16,30.37714715319575,0.29434109909282036,0.5,0.3489858940326316
HE-FL-IoT (Proposed),2,17,31.764193021498244,0.3012966235906557,0.5,0.3426393444648778
HE-FL-IoT (Proposed),2,18,32.77529364773604,0.3025664457173588,0.5,0.3401816556545081
HE-FL-IoT (Proposed),2,19,33.78539618947571,0.3201798823980229,0.5,0.3314239157320366
HE-FL-IoT (Proposed),2,20,34.8128962260631,0.3332541446503764,0.5,0.33109658576444134
HE-FL-IoT (Proposed),2,21,35.09515379892268,0.3353266265417262,0.5,0.32934147354682897
HE-FL-IoT (Proposed),2,22,36.30253753955181,0.34657979782093634,0.5,0.3283825153305824
HE-FL-IoT (Proposed),2,23,38.233283052130886,0.35654613499156734,0.5,0.31778317996870487
HE-FL-IoT (Proposed),2,24,38.70253407603079,0.37591054854190936,0.5,0.31348091823568763
HE-FL-IoT (Proposed),2,25,39.311875741068626,0.3665548105885438,0.5,0.3105750901000968
HE-FL-IoT (Proposed),2,26,41.005336384231875,0.3974092288112384,0.5,0.301593344698366
HE-FL-IoT (Proposed),2,27,42.908639571047495,0.4020762478299395,0.5,0.293823362639513
HE-FL-IoT (Proposed),2,28,43.428188894719725,0.4219887514328176,0.5,0.29263334595846135
HE-FL-IoT (Proposed),2,29,45.37334719091759,0.4391117078008809,0.5,0.27601137520296065
HE-FL-IoT (Proposed),2,30,45.98796741190248,0.4401310945445692,0.5,0.2795774469956192
HE-FL-IoT (Proposed),2,31,48.36972578716008,0.4694725928068509,0.5,0.2596062965555971
HE-FL-IoT (Proposed),2,32,49.24955474011682,0.47641599683029195,0.5120354737278132,0.2635753471841221
HE-FL-IoT (Proposed),2,33,50.42407200391346,0.48289947417223916,0.5242346855492669,0.254127141997384
HE-FL-IoT (Proposed),2,34,50.64050759345619,0.4874609279226568,0.5174022351347741,0.24707923902246454
HE-FL-IoT (Proposed),2,35,51.354842872466435,0.4860653495828714,0.5249379269890927,0.25052319948035556
HE-FL-IoT (Proposed),2,36,53.80802725741235,0.5109704532832928,0.5483028104504096,0.23619073634235238
HE-FL-IoT (Proposed),2,37,54.71706501773337,0.5289035599791205,0.5646831791849699,0.22899596140781184
HE-FL-IoT (Proposed),2,38,56.66879395680991,0.542542478284183,0.5837272913383537,0.2220599727345111
HE-FL-IoT (Proposed),2,39,57.87574320560716,0.5530068217958024,0.5985916050930682,0.21159466994456713
HE-FL-IoT (Proposed),2,40,59.32242303443505,0.5709990969281356,0.6084773256172001,0.20866493402699673
HE-FL-IoT (Proposed),2,41,59.98132256591795,0.5807303124521603,0.6155925294679849,0.2025392889668649
HE-FL-IoT (Proposed),2,42,61.88916627427628,0.5973926375376483,0.6334212390687184,0.19962107593159706
HE-FL-IoT (Proposed),2,43,62.31694286183496,0.600460511002513,0.6420596252740204,0.19640652604196104
HE-FL-IoT (Proposed),2,44,63.12309781069542,0.6161168927778248,0.6434976962905375,0.19266185984153977
HE-FL-IoT (Proposed),2,45,64.90755056341327,0.6171946691254928,0.664419652802079,0.1760261452033981
HE-FL-IoT (Proposed),2,46,64.52558945624159,0.614299382988043,0.6642759505312109,0.18278491627785604
HE-FL-IoT (Proposed),2,47,66.12973244670351,0.6375327693495476,0.6747218144926834,0.1765761525799657
HE-FL-IoT (Proposed),2,48,67.39044513319475,0.6452313582334428,0.6874652083779903,0.16502653309893983
HE-FL-IoT (Proposed),2,49,68.52910121280765,0.6634491890579851,0.6980264986159006,0.1610260562726445
HE-FL-IoT (Proposed),2,50,69.1913203181916,0.6778984027055753,0.7045433912869422,0.15468224353492277
HE-FL-IoT (Proposed),3,1,19.017585788618366,0.17234629719907735,0.5,0.4068055933507718
HE-FL-IoT (Proposed),3,2,20.419873058758665,0.18262291179657036,0.5,0.3979154377416773
HE-FL-IoT (Proposed),3,3,20.58758782473454,0.20090672500100895,0.5,0.40244833623094994
HE-FL-IoT (Proposed),3,4,20.556449809581395,0.18160709858781673,0.5,0.40536846044328984
HE-FL-IoT (Proposed),3,5,20.927619696019196,0.18799996096593558,0.5,0.3961326670202343
HE-FL-IoT (Proposed),3,6,22.393987243027247,0.20186670508614846,0.5,0.39748846724342035
HE-FL-IoT (Proposed),3,7,22.08874628744722,0.1997975683685531,0.5,0.3942182276690905
HE-FL-IoT (Proposed),3,8,22.955265202166604,0.2221629193061252,0.5,0.3889815116044737
HE-FL-IoT (Proposed),3,9,25.80329829304335,0.2524848282508176,0.5,0.37977737996163324
HE-FL-IoT (Proposed),3,10,24.74119667880668,0.2390867634193328,0.5,0.3764943603210963
HE-FL-IoT (Proposed),3,11,25.72507092283497,0.24493178319872047,0.5,0.37335885971362615
HE-FL-IoT (Proposed),3,12,26.51362967966631,0.24363119426404664,0.5,0.3725409063950145
HE-FL-IoT (Proposed),3,13,27.82952734391393,0.2699497550865936,0.5,0.3680759741848878
HE-FL-IoT (Proposed),3,14,27.699867852460294,0.2674443103747791,0.5,0.3657583072960109
HE-FL-IoT (Proposed),3,15,28.801027635660507,0.26825175972551213,0.5,0.35622806425978826
HE-FL-IoT (Proposed),3,16,30.682996453582124,0.2809778769503496,0.5,0.35573207845648935
HE-FL-IoT (Proposed),3,17,29.631787109297,0.2883958452269828,0.5,0.36091696196557116
HE-FL-IoT (Proposed),3,18,31.309455625569232,0.2991057504838313,0.5,0.3515415495195401
HE-FL-IoT (Proposed),3,19,33.068713316897075,0.3170916495700539,0.5,0.33605727167505295
HE-FL-IoT (Proposed),3,20,34.29172639086969,0.33248298165102563,0.5,0.33648093482637126
HE-FL-IoT (Proposed),3,21,34.77905460574037,0.32702746883181094,0.5,0.32803400080039924
HE-FL-IoT (Proposed),3,22,36.8454686668141,0.346767586711757,0.5,0.31792135892950335
HE-FL-IoT (Proposed),3,23,37.109613201086525,0.3568539975188204,0.5,0.31715085312322927
HE-FL-IoT (Proposed),3,24,39.63208266442021,0.37166165957428304,0.5,0.3031137540456611
HE-FL-IoT (Proposed),3,25,40.476550350340595,0.38779563815045404,0.5,0.3040993593935711
HE-FL-IoT (Proposed),3,26,40.95112021958412,0.385459903128933,0.5,0.2976507395645365
HE-FL-IoT (Proposed),3,27,42.129566538283065,0.3962633921061246,0.5,0.29400057866469553
HE-FL-IoT (Proposed),3,28,44.074006773716235,0.4276192617882255,0.5,0.2803665271218829
HE-FL-IoT (Proposed),3,29,44.88857632230667,0.4393405634786212,0.5,0.28366214800535205
HE-FL-IoT (Proposed),3,30,46.10773314729307,0.4514443818001445,0.5,0.27423609817246836
HE-FL-IoT (Proposed),3,31,48.40033253732241,0.4565231703053314,0.5,0.26669792483218785
HE-FL-IoT (Proposed),3,32,49.408630614355566,0.47312045043722084,0.5131938347938927,0.2561438015449104
HE-FL-IoT (Proposed),3,33,50.527914749591496,0.4948195481505518,0.5248627708623586,0.24955047467009414
HE-FL-IoT (Proposed),3,34,51.4901335233434,0.48690949986365434,0.5275044562873076,0.24447771785224715
HE-FL-IoT (Proposed),3,35,51.78478945695784,0.5027530010624428,0.5348754348496053,0.24952950816653754
HE-FL-IoT (Proposed),3,36,53.18988548546189,0.5132254862292921,0.5474053520721324,0.23450832978711128
HE-FL-IoT (Proposed),3,37,55.414934300510104,0.5335387090448471,0.5661740379125594,0.22982172294290906
HE-FL-IoT (Proposed),3,38,56.18735243092491,0.5501931555854807,0.5775623161221645,0.22545954858349937
HE-FL-IoT (Proposed),3,39,58.099828715673226,0.5672135971055307,0.5958210666631084,0.21341985552823198
HE-FL-IoT (Proposed),3,40,58.65643731149533,0.5647507280077461,0.6010335572215499,0.20940485114772098
HE-FL-IoT (Proposed),3,41,59.75083675624867,0.5674704571591301,0.6146156653289092,0.20989039664803724
HE-FL-IoT (Proposed),3,42,61.147925090785364,0.5860947093427286,0.6248000122607222,0.20367885097818852
HE-FL-IoT (Proposed),3,43,62.588680930027024,0.6022333674997641,0.6396447962251618,0.19277049925025921
HE-FL-IoT (Proposed),3,44,63.125269846439004,0.6181062794217046,0.6440641217959397,0.19383084048602184
HE-FL-IoT (Proposed),3,45,65.384555172347,0.6277146558567117,0.6654933116081796,0.17506028564503295
HE-FL-IoT (Proposed),3,46,65.86251860963195,0.6369917864109681,0.6779141043286345,0.17693270142644854
HE-FL-IoT (Proposed),3,47,65.72723175378424,0.6415795538438533,0.6739623400747508,0.17526761523056295
HE-FL-IoT (Proposed),3,48,68.10453420476375,0.658197790165865,0.6963212475496245,0.16704005768986344
HE-FL-IoT (Proposed),3,49,67.29826137956981,0.6579047126604328,0.6929688914088998,0.1654118326087394
HE-FL-IoT (Proposed),3,50,69.72754098242763,0.6710535041944056,0.7139535534479751,0.15924812372109498
